,SPG,NNN,SLG,PTY,WELL,BXP,EPR,WPC,STOR,EXEL,GEO,VTR,HST,HTA
9/01/2015,196.5700073,42.09000015,125.1999969,16.45999908,79.48999786,137.7700043,60.36000061,71.29000092,21.87000084,1.75999999,27.29333305,86.85623169,23.73999977,28.70000076
10/01/2015,,,,,,,,,,,,,,
11/01/2015,,,,,,,,,,,,,,
12/01/2015,196.7599945,42.38999939,127.7200012,16.23999977,80.69000244,138.3399963,61.31000137,71.88999939,22.04999924,1.649999976,27.4533329,87.86113739,23.79000092,28.62000084
13/01/2015,196.8899994,42.34000015,127.4199982,16.13999939,80.87000275,138.0399933,60.97999954,71.23000336,22.09000015,1.649999976,27.47333336,88.19230652,23.75,28.57999992
14/01/2015,198.6300049,42.72000122,128.1699982,16.03000069,81.90000153,139.6600037,61.18999863,71.75,22.76000023,1.669999957,27.34666634,88.63766479,23.71999931,28.84000015
15/01/2015,200.0700073,42.88000107,128.3099976,15.88000011,83.16999817,139.9700012,61.75999832,71.97000122,22.79999924,1.649999976,27.31999969,88.74043274,23.76000023,28.71999931
16/01/2015,200.8000031,43.68999863,128,16.13999939,84.30999756,141.0899963,62.63999939,71.98000336,23.12999916,1.659999967,27.67333412,89.07160187,23.71999931,29.21999931
17/01/2015,,,,,,,,,,,,,,
18/01/2015,,,,,,,,,,,,,,
19/01/2015,,,,,,,,,,,,,,
20/01/2015,199.6300049,43.22999954,127.75,16.20000076,83.37000275,140.5200043,62.47999954,71.90000153,22.69000053,1.730000019,27.68000031,89.9965744,23.69000053,29.11000061
21/01/2015,200.2200012,43.40999985,127.7200012,16.37000084,82.43000031,140.5200043,63,71.65000153,22.44000053,1.639999986,27.5933342,89.45986176,23.61000061,29
22/01/2015,204.0299988,43.79999924,128.6399994,16.53000069,82.98999786,143.1600037,64.62999725,73,22.90999985,1.620000005,28.55999947,91.4240036,24.11000061,29.43000031
23/01/2015,203.1100006,43.79000092,128.5099945,16.68000031,83.23000336,142.6699982,64.36000061,72.76999664,22.96999931,1.629999995,28.44000053,91.84651947,24.12999916,29.47999954
24/01/2015,,,,,,,,,,,,,,
25/01/2015,,,,,,,,,,,,,,
26/01/2015,205.1600037,44.24000168,130.5599976,16.68000031,83.08000183,144.2299957,65.55000305,73.58000183,23.20000076,1.720000029,28.74666595,92.0977478,24.13999939,29.73999977
27/01/2015,204.6799927,43.91999817,130.3099976,16.79999924,83.01999664,144.2200012,65.58000183,73.25,23.27000046,1.779999971,28.70000076,92.22336578,23.97999954,29.94000053
28/01/2015,203.5099945,43.29999924,130.0200043,16.82999992,83.04000092,142.9799957,64.83999634,72.97000122,23.20999908,2.039999962,28.82666588,92.21194458,23.5,29.80999947
29/01/2015,204.7599945,43.31999969,129.6100006,16.70999908,83.73999786,143.4400024,65.37000275,73.13999939,23.54000092,1.970000029,29.46666718,92.44033051,23.63999939,29.84000015
30/01/2015,198.6600037,42.84000015,126,16.80999947,81.94999695,138.8000031,65.05999756,71.80999756,22.95999908,1.870000005,29.01333427,91.13851929,22.88999939,29.45999908
31/01/2015,,,,,,,,,,,,,,
1/02/2015,,,,,,,,,,,,,,
2/02/2015,199.4100037,42.47999954,126.2399979,16.77000046,81.94999695,140.2100067,64.70999908,70.91000366,22.47999954,1.830000043,28.92666626,91.11567688,22.97999954,29.04000092
3/02/2015,200.0899963,42.36000061,127.6100006,16.77000046,81.76000214,141.8099976,65.04000092,71.33000183,23.35000038,1.909999967,29.54000092,91.04716492,23.30999947,28.96999931
4/02/2015,201.8300018,42.29000092,127.3899994,16.69000053,80.72000122,141.1300049,64.26999664,71.08000183,22.93000031,1.850000024,29.31333351,89.72251129,23.06999969,28.75
5/02/2015,203.2200012,42.81999969,129.3800049,16.79000092,81.62999725,143.7899933,65.41000366,72.12999725,23.06999969,1.899999976,29.7266674,90.63606262,23.42000008,28.95999908
6/02/2015,195.0800018,40.86999893,127.5800018,16.81999969,77.25,140.9499969,62.99000168,69.73000336,22.20000076,1.909999967,29.29999924,86.7991333,23.15999985,27.82999992
7/02/2015,,,,,,,,,,,,,,
8/02/2015,,,,,,,,,,,,,,
9/02/2015,194.1100006,40.63999939,126.5899963,16.88999939,77.06999969,140.1900024,62.00999832,69.08999634,22.14999962,1.889999986,28.32666588,86.50222778,22.94000053,27.5
10/02/2015,194.75,40.61999893,127.4100037,16.72999954,77.5,142.2200012,61.43999863,69.11000061,22.15999985,2.190000057,28.5466671,87.5528183,23.13999939,27.70000076
11/02/2015,192.4199982,40.56999969,127.4599991,16.64999962,77.23999786,140.9199982,61.59999847,69.34999847,22.29999924,2.160000086,28.2733326,87.34726715,23.20000076,27.87000084
12/02/2015,194.7200012,40.79999924,129.2400055,16.53000069,77.44999695,142.6600037,61.97999954,71.45999908,22.67000008,2.279999971,28.53333282,87.95249176,23.70000076,28.17000008
13/02/2015,193.1100006,41,128.5899963,16.56999969,77.12000275,141.0800018,61.68000031,70.81999969,22.39999962,2.480000019,28.55333328,87.48429871,23.62000084,27.93000031
14/02/2015,,,,,,,,,,,,,,
15/02/2015,,,,,,,,,,,,,,
16/02/2015,,,,,,,,,,,,,,
17/02/2015,192.8099976,41.31000137,128.4100037,16.37000084,76.97000122,140.25,61.88000107,70.36000061,22.67000008,2.670000076,28.79999924,87.34726715,23.55999947,28.11000061
18/02/2015,194.2799988,41.72999954,129.9299927,16.34000015,78.11000061,141.7799988,62.11000061,70.83999634,22.84000015,2.730000019,29.32666588,88.9003067,23.54000092,28.12000084
19/02/2015,189.8099976,40.54000092,127.1699982,16.54000092,76.22000122,138.4700012,61.02000046,69.86000061,22.34000015,2.819999933,28.44000053,87.17597198,21.87000084,27.37999916
20/02/2015,191.8099976,41.04000092,128.6399994,16.52000046,78.05000305,139.3699951,61.79000092,71.05000305,22.29999924,2.74000001,28.50666618,88.42069244,21.77000046,27.59000015
21/02/2015,,,,,,,,,,,,,,
22/02/2015,,,,,,,,,,,,,,
23/02/2015,193.6100006,41.63999939,129.75,16.38999939,78.69000244,140.9299927,62.59999847,71.73000336,22.61000061,2.75,28.82666588,88.59197998,21.61000061,27.70999908
24/02/2015,190.0599976,40.49000168,126.8799973,16.27000046,76.5,138.2599945,61.61999893,69.44999695,22.05999947,2.690000057,28.78666687,85.12047577,21.31999969,27.04999924
25/02/2015,190.4799957,40.65999985,127.1200027,16.20000076,77.62999725,137.6600037,60.66999817,69.16999817,22.20999908,2.690000057,28.31999969,84.99485779,21.25,27.21999931
26/02/2015,187.1399994,40.11999893,125.7600021,16.07999992,76.06999969,136.2299957,60.27000046,68.08000183,22.25,2.930000067,28.39333344,84.25260162,21.12000084,27.12999916
27/02/2015,190.3600006,40.24000168,126.9300003,16.32999992,77.11000061,137.4100037,61.00999832,68.58000183,22.63999939,2.930000067,28.76666641,85.0405426,21,27.75
28/02/2015,,,,,,,,,,,,,,
1/03/2015,,,,,,,,,,,,,,
2/03/2015,190.0399933,40.81000137,127.8899994,16.31999969,77.37999725,138.7599945,60.61999893,69.61000061,22.60000038,3.089999914,29.42666626,85.28034973,21.43000031,27.69000053
3/03/2015,189.6100006,40.86000061,128.1100006,16.35000038,77.56999969,138.75,60.54000092,69.25,22.07999992,3,29.21999931,85.10905457,21.34000015,27.52000046
4/03/2015,187.5599976,40.65000153,127.3600006,16.40999985,76.72000122,137.3000031,59.77999878,68.73999786,21.85000038,3.049999952,29.01333427,83.39614105,20.89999962,27.20999908
5/03/2015,187.1300049,40.65999985,127.9100037,16.38999939,76.68000031,139.0299988,59.77999878,68.55000305,22.04000092,3.109999895,29.29333305,83.24768829,20.65999985,27.29999924
6/03/2015,180.5800018,38.77000046,123.5400009,16.30999947,73.62000275,133.8200073,57.24000168,65.91999817,21.29000092,3.039999962,27.66666603,79.83327484,20.28000069,25.77000046
7/03/2015,,,,,,,,,,,,,,
8/03/2015,,,,,,,,,,,,,,
9/03/2015,180.4400024,39.25999832,125.1699982,16.29999924,74.38999939,134.9400024,58.04000092,66.55000305,21.44000053,3.079999924,27.86000061,79.93605042,20.43000031,26.44000053
10/03/2015,179.9199982,39.20000076,124.2300034,16.20999908,74.93000031,134.75,58.54000092,66.38999939,21.28000069,3.029999971,27.62000084,79.36508179,20.26000023,26.60000038
11/03/2015,179.3500061,39.56000137,124,16.01000023,74.23000336,134.5800018,58.47000122,66.18000031,21.48999977,2.930000067,27.95999908,78.93113708,20.38999939,26.51000023
12/03/2015,183.6000061,39.83000183,127.3499985,16.03000069,75.30000305,137.3399963,59.06000137,67.33999634,21.76000023,2.690000057,28.44666672,80.35857391,20.85000038,26.96999931
